22.05.2024 9:44:43.711 CAN1 ID=0x108141FA, D(8)=0x01-01-01-00-00-00-00-00
22.05.2024 9:44:43.711 CAN1 ID=0x108182FA, D(8)=0x00-00-00-00-00-00-00-03
22.05.2024 9:44:43.774 CAN2 ID=0x10C100FA, D(8)=0x23-34-63-20-26-67-F9-00
22.05.2024 9:44:43.774 CAN2 ID=0x10C141FA, D(8)=0x00-00-00-00-01-00-00-00
22.05.2024 9:44:43.774 CAN2 ID=0x10C142FA, D(8)=0x00-09-19-59-00-20-00-00
22.05.2024 9:44:43.774 CAN2 ID=0x10C143FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:43.774 CAN2 ID=0x10C144FA, D(8)=0x04-00-03-20-00-00-00-00
22.05.2024 9:44:43.774 CAN2 ID=0x10C145FA, D(8)=0x00-03-00-00-00-00-00-00
22.05.2024 9:44:43.774 CAN2 ID=0x10C146FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:43.774 CAN2 ID=0x10C187FA, D(8)=0x00-00-04-04-00-00-00-00
22.05.2024 9:44:47.705 CAN1 ID=0x118100FA, D(8)=0x0F-60-03-00-00-00-00-00
